i,model,call,n_observations,n_rand_effect_groups,optimizer,optimizer_message,REML,logLik,Intercept_Estimate,Yoh_Estimate,N1S_Estimate,N2S_Estimate,PredS_Estimate,Intercept_stdError,Yoh_stdError,N1S_stdError,N2S_stdError,PredS_stdError,Intercept_df,Yoh_df,N1S_df,N2S_df,PredS_df,Intercept_t value,Yoh_t value,N1S_t value,N2S_t value,PredS_t value,Intercept_p_two_sided,Yoh_p_two_sided,N1S_p_two_sided,N2S_p_two_sided,PredS_p_two_sided,Y_KR_stat,N1_KR_stat,N2_KR_stat,Pred_KR_stat,Y_KR_ddf,N1_KR_ddf,N2_KR_ddf,Pred_KR_ddf,Y_KR_p.value,N1_KR_p.value,N2_KR_p.value,Pred_KR_p.value
23,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_FTOL_REACHED: Optimization stopped because ftol_rel or ftol_abs (above) was reached.,-1570.6068530545867,785.3034265272934,0.05929817259311749,-3.2240083194206587e-17,0.038787037134170504,0.02980564534664151,0.03332568705081937,0.011252296401742757,0.006466057682232529,0.006466057682232529,0.006466057682232529,0.006466057682232529,138.23145915596777,955.9976897767584,955.9976897767584,955.9976897767584,955.9976897767584,5.269872964236294,-4.986049425880638e-15,5.998560334645599,4.609554509317421,5.153942121857633,5.12299596642367e-7,0.999999999999996,2.821007360153149e-9,4.582448350432261e-6,3.0988425119459013e-7,2.4860688877324637e-29,35.98272608838352,21.247992774368576,26.56311939545836,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.999999999999996,2.821005040901979e-9,4.582446962525069e-6,3.0988410800867266e-7
24,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1454.4045396882937,727.2022698441468,0.05623091384768553,-4.182290627734077e-18,0.043544534593820565,0.029340002685785287,0.0264325626194477,0.012239785528088921,0.006826903737531878,0.006826903737531878,0.006826903737531878,0.006826903737531878,130.98768269355676,956.0000001809049,956.0000001809049,956.0000001809049,956.0000001809049,4.594109408097221,-6.126189541448105e-16,6.37837243176995,4.297702708840676,3.8718229574749845,1.0086697824883596e-5,0.9999999999999996,2.7833516736637163e-10,1.902450770983258e-5,1.1536831671196726e-4,3.753019829774813e-31,40.68363487836289,18.470248573576473,14.991013014030331,956.0000000000705,956.0000000000705,956.0000000000705,956.0000000000705,0.9999999999999996,2.783351673889933e-10,1.9024507710179064e-5,1.153683167133885e-4
25,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-3192.133306343705,1596.0666531718525,0.09011251479387218,0,-0.0053389593958854675,-0.005604170262813568,-0.007654629647731781,0.005822611730034808,0.0028804488962079797,0.0028804488962079797,0.0028804488962079797,0.0028804488962079797,109.68313811930625,956.0000012951201,956.0000012951201,956.0000012951201,956.0000012951201,15.47630495934399,0,-1.8535164442299392,-1.9455891997220578,-2.657443309551112,2.3951584575192544e-29,1,0.06411628510447669,0.051996906215106574,0.00800492400301063,0,3.435523209030797,3.7853173340751174,7.062004943477967,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,1,0.06411628510489395,0.05199690621550336,0.008004924003189206
26,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1240.334155806805,620.1670779034025,0.05877690017223402,4.138312226299192e-19,0.041511677205562605,0.03501341491937639,0.033565066754817977,0.012894271489036113,0.007623950175695531,0.007623950175695531,0.007623950175695531,0.007623950175695531,146.14476031836517,956.0000010938992,956.0000010938992,956.0000010938992,956.0000010938992,4.55837309011304,5.428042066029969e-17,5.444904052219296,4.592555579782776,4.402582123610985,1.0810396465638075e-5,1,6.591084098181138e-8,4.963344391933545e-6,1.1902560466962424e-5,2.9463640670590898e-33,29.646980137874102,21.09156675339391,19.382729355139016,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,1,6.591084099957262e-8,4.963344392635495e-6,1.1902560468397867e-5
27,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1313.5617944649314,656.7808972324657,0.05382275953888848,2.7755575615628914e-17,0.04473798349499705,0.035103652626276044,0.030799951404333142,0.012925891313100454,0.00732598403869943,0.00732598403869943,0.00732598403869943,0.00732598403869943,134.74960684589007,956.0000002625555,956.0000002625555,956.0000002625555,956.0000002625555,4.16394956720229,3.788648114575516e-15,6.1067541587135805,4.791663814832436,4.204206730677099,5.549483085867031e-5,0.999999999999997,1.4770549179486802e-9,1.916655711734541e-6,2.8658346560325114e-5,1.435385453607661e-29,37.292446354965605,22.960042114374534,17.675354234270625,955.9999999999363,956.0000000000034,955.9999999999363,956.0000000000034,0.999999999999997,1.4770549180963956e-9,1.9166557118109254e-6,2.8658346561022666e-5
28,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1121.8970494501857,560.9485247250929,0.06743150763213719,0,0.0489955423399806,0.03672739211469889,0.02967116702347994,0.013949396964474234,0.008062951779498688,0.008062951779498688,0.008062951779498688,0.008062951779498688,139.75838847678313,956.0000011524141,956.0000011524141,956.0000011524141,956.0000011524141,4.834008796499881,0,6.076625990069717,4.5550802136860105,3.6799385429692766,3.4804800801477498e-6,1,1.7704765068238575e-9,5.913223968948805e-6,2.463276006828692e-4,0,36.92538342319077,20.7487557531138,13.541947680030846,955.9999999999363,955.9999999999363,955.9999999999363,955.9999999999363,1,1.7704765075865397e-9,5.9132239698030165e-6,2.4632760069887103e-4
29,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1508.318970301984,754.159485150992,0.08562737703323292,2.7755575615628914e-17,0.0370440483093262,0.030658006668090848,0.02608227729797366,0.011283544500546912,0.006685928144350828,0.006685928144350828,0.006685928144350828,0.006685928144350828,146.78701645725346,956.00000296117355,956.00000296117355,956.00000296117355,956.00000296117355,7.588694937932187,4.15134219458828e-15,5.540599227143354,4.585452611242144,3.901070537231466,3.4364819388918758e-12,0.9999999999999967,3.897278954034104e-8,5.1313394273081085e-6,1.02471815767063e-4,1.7233642016569037e-29,30.698239795821536,21.026375649947397,15.218351336455395,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999967,3.897278957071383e-8,5.1313394292611395e-6,1.0247181578831857e-4
30,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1985.6470166373774,992.8235083186887,0.09048682451248369,-2.7755575615628926e-17,0.03228129446506499,0.01624651253223417,0.02673475444316862,0.010212457691706645,0.005220851676553295,0.005220851676553295,0.005220851676553295,0.005220851676553295,114.52352565098197,956.0000002975809,956.0000002975809,956.0000002975809,956.0000002975809,8.860435680038746,-5.316292692297403e-15,6.183147207579066,3.111851004156434,5.120764982317672,1.1982550821093539e-14,0.9999999999999958,9.2967613652301e-10,0.0019143841031126646,3.679441440019409e-7,2.826296799017477e-29,38.2313093905928,9.683616672069403,26.222234004130904,956.0000000000034,956.0000000000705,956.0000000000705,956.0000000000705,0.9999999999999958,9.296761366334467e-10,0.0019143841031299886,3.679441440233055e-7
31,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1715.7915037091093,857.8957518545546,0.057287310250104514,4.7571116444375826e-18,0.03273909632116558,0.02469811309129001,0.021169780753552928,0.010918459357648595,0.0059969003490423535,0.0059969003490423535,0.0059969003490423535,0.0059969003490423535,127.61740134447783,956.0000001755058,956.0000001755058,956.0000001755058,956.0000001755058,5.246830928575434,7.932617464949617e-16,5.459336393074081,4.118479823536514,3.5301204824811765,6.254624232335936e-7,0.9999999999999993,6.09208394029765e-8,4.1437532405988894e-5,4.351764094463349e-4,6.292641984522367e-31,29.804353852743127,16.961876056877358,12.461750620833135,956.0000000000705,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999993,6.092083940563654e-8,4.143753240661286e-5,4.35176409450026e-4
32,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1287.9842426757216,643.9921213378608,0.05454890616238052,-4.296754764205336e-17,0.03835480101406571,0.037236073985695804,0.03017638809978958,0.012442034076159326,0.007457489328870082,0.007457489328870082,0.007457489328870082,0.007457489328870082,150.3365507636518,956.0000013612795,956.0000013612795,956.0000013612795,956.0000013612795,4.384243430654465,-5.761663979285046e-15,5.143125162188736,4.993111266219889,4.046454077107174,2.1757078846204605e-5,0.9999999999999953,3.277650357837992e-7,7.059651134254768e-7,5.6197245209178955e-5,3.319677181019079e-29,26.451736433938915,24.931160116851984,16.373790598137266,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999953,3.277650358723297e-7,7.05965113595925e-7,5.61972452153235e-5
33,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1098.0021617288671,549.0010808644336,0.0628898143768302,7.305414738197329e-17,0.052406132221222,0.039150178432464676,0.031092673540115433,0.013978351377967413,0.008166154083491401,0.008166154083491401,0.008166154083491401,0.008166154083491401,142.6710860591818,956.0000001878691,956.0000001878691,956.0000001878691,956.0000001878691,4.499086671691249,8.945967298077154e-15,6.417480209829203,4.794200309250863,3.8075051269203954,1.4043575527441333e-5,0.9999999999999929,2.1773883811465512e-10,1.8931297236148698e-6,1.4932016457333452e-4,8.003033089826583e-29,41.18405224354947,22.984356605221073,14.497095291525097,956.0000000000705,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999929,2.1773883813346862e-10,1.893129723668957e-6,1.4932016457512966e-4
34,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1376.7766214110598,688.3883107055299,0.052742268890141726,-4.646900909450163e-17,0.03402628935873505,0.033417271450161906,0.03272921778261659,0.012400009804129778,0.00710976931199237,0.00710976931199237,0.00710976931199237,0.00710976931199237,137.64538620975,956.0000162933335,956.0000162933335,956.0000162933335,956.0000162933335,4.253405418484113,-6.535937673268842e-15,4.785849985503941,4.70019067901338,4.603414871339178,3.865290927317571e-5,0.9999999999999948,1.9716450875272997e-6,2.980601451138071e-6,4.716664583052181e-6,4.271848126885493e-29,22.904360083748077,22.09179241908426,21.191428477666697,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999948,1.9716450923805257e-6,2.980601457990712e-6,4.716664593076788e-6
35,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1173.6830411296037,586.8415205648018,0.054196009412407625,3.612010393153786e-18,0.05154111981391909,0.03780752047896387,0.03051497042179109,0.01333173153200306,0.007876861539310146,0.007876861539310146,0.007876861539310146,0.007876861539310146,145.9282510028379,956.000016238541,956.000016238541,956.000016238541,956.000016238541,4.065189077826022,4.585595893907417e-16,6.543357345650771,4.799820371385511,3.8740011195453343,7.816775044123563e-5,0.9999999999999996,9.791611765145351e-11,1.8419894842412137e-6,1.1435735185719026e-4,2.1027689702220566e-31,42.81552535288192,23.03827559756735,15.007884674238507,956.0000000000034,955.9999999999363,955.9999999999363,955.9999999999363,0.9999999999999996,9.791611843872664e-11,1.8419894888101412e-6,1.1435735198393418e-4
36,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1173.661467521963,586.8307337609815,0.061783261597155595,-3.564212278445293e-18,0.05196257680654525,0.03668945282697677,0.03293368965387344,0.013357798714252803,0.007875341040777424,0.007875341040777424,0.007875341040777424,0.007875341040777424,145.29551167889971,956.0000030892913,956.0000030892913,956.0000030892913,956.0000030892913,4.625257717892747,-4.525787848412273e-16,6.598136707666402,4.658776380223265,4.181874725595674,8.204470822853445e-6,0.9999999999999996,6.886126580662849e-11,3.6312173227856468e-6,3.1567920428789235e-5,2.048275564883619e-31,43.53540801305481,21.704197360926184,17.488076220575884,956.0000000000034,956.0000000000705,956.0000000000705,956.0000000000705,0.9999999999999996,6.886126591534618e-11,3.631217324316471e-6,3.1567920437650954e-5
37,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1291.4965134046456,645.7482567023228,0.05416062846779731,3.469446951953614e-18,0.045174699276685715,0.031764961779117584,0.02831503748893738,0.012962814865658636,0.007411680790984967,0.007411680790984967,0.007411680790984967,0.007411680790984967,136.93080094062572,956.0000002283775,956.0000002283775,956.0000002283775,956.0000002283775,4.178153358595037,4.681052853994466e-16,6.09506811621366,4.28579733462809,3.8203260889726587,5.206840270411487e-5,0.9999999999999996,1.5847495802086248e-9,2.005217045206092e-5,1.4187828476194228e-4,2.1912255821889736e-31,37.149855341284336,18.36805879350524,14.59489142608513,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999996,1.5847495803454816e-9,2.005217045251731e-5,1.4187828476404173e-4
38,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1293.3621725725177,646.6810862862588,0.057720120996236204,4.83748405412024e-18,0.03968032728880645,0.034019400365650675,0.03237245511263611,0.012624618310795093,0.007424337644102074,0.007424337644102074,0.007424337644102074,0.007424337644102074,144.560551165616,956.0000006187295,956.0000006187295,956.0000006187295,956.0000006187295,4.572028997255364,6.515711280942561e-16,5.344628597317186,4.582146178747115,4.360315581599784,1.0288993743217404e-5,0.9999999999999996,1.1332075712164589e-7,5.211388597504234e-6,1.4395885873155516e-5,4.245449349660214e-31,28.565054843260675,20.996063603406785,19.012351971141868,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999996,1.133207571377411e-7,5.211388597917562e-6,1.4395885874102527e-5
39,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1310.5793603474494,655.2896801737247,0.059602722525597944,-4.3165368092340594e-17,0.04782111942768092,0.03235977888107295,0.031020030379295304,0.01264947450884348,0.007353934626803064,0.007353934626803064,0.007353934626803064,0.007353934626803064,141.3206634266835,956.0000002350595,956.0000002350595,956.0000002350595,956.0000002350595,4.7118734050120885,-5.869697010225619e-15,6.502793654622129,4.40033540183108,4.2181542199512965,5.811308930791111e-6,0.9999999999999953,1.2686544007461513e-10,1.2023988537059769e-5,2.697267835656638e-5,3.4453342991851566e-29,42.28632531459383,19.362951648607886,17.792825023292927,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999953,1.2686544008903576e-10,1.2023988537370822e-5,2.697267835716156e-5
40,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-3144.6343287473137,1572.3171643736569,0.12142708897590986,5.909791431435688e-17,0.0035443007946014985,-0.0021249353885650036,-0.00975319743156427,0.006454998035333047,0.0029280494885225525,0.0029280494885225525,0.0029280494885225525,0.0029280494885225525,99.43111375629691,956.0000002581336,956.0000002581336,956.0000002581336,956.0000002581336,18.811328572254908,2.0183372769487154e-14,1.2104647850026253,-0.7257170334362116,-3.3309537525902884,1.5813788743733363e-34,0.9999999999999839,0.22639978008917228,0.46818987295538406,8.986223578575171e-4,4.073685363520755e-28,1.465224995731452,0.5266652126194555,11.095252901895323,956.0000000000705,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999839,0.22639978008925318,0.4681898729554318,8.986223578665647e-4
